Jobs
IT
Dạ bác sĩ ạ
Chưa quyết định
Kĩ sư phần mềm
giảng viên
Ngành Y dược
Em chưa xác định được
Phiên dịch viên
Chuyên gia tư vấn tâm lí
Em có dự định theo ngành kiến trúc
em chưa biết
Phiên dịch viên
Game Developer
Thiết kế đồ họa
Không có
Em chưa biết
lập trình viên toàn phần
em chưa biết
Thiên văn
kĩ sư
Giáo viên
coder
Chuyên gia tham vấn tâm lý
Y học
FREELANCER
Em muốn làm một giáo viên.
IT
kol
Lập trình viên
.
Bác sĩ tâm lí
Ngành ngoại giao
Marketing
Dạ kinh doanh
Dạ kế toán ạ.
Ngoại giao
không biết
Sau này em muốn làm bác sĩ ạ
kỹ sư
IT
Dạ graphic designer
Bác sĩ ngoại khoa thần kinh
Luật sư
IT
Em muốn theo Luật hoặc Bác Sĩ.
Bác sĩ
quản lý tài chính
Em chưa rõ
Giáo viên
ngôn ngữ anh
Vật lí ứng dụng
Vật lý thiên văn
Luật sư
Người sáng tạo nội dung/ thông dịch
Thiết kế
Dạ kinh doanh
Hiện tại em chưa xác định
Kiến trúc sư
Marketing
Làm dev
Kĩ sư
"General purpose open source programming (game modding, discord bots etc. (xem github.com/giabao06)"
thiết kế đồ họa
em chưa có định hướng
Chưa có định hướng
lập trình viên
Bác Sĩ
Biên tập viên
Bác sĩ tâm lí
Em dự định theo ngành sư phạm ạ
Giáo viên hoặc kinh doanh ạ
.
Em chưa rõ.
Em chưa có định hướng ạ.
Marketing
Nghiên cứu về không gian vũ trụ
Lập trình viên
Lập trình viên
dạ chưa biết
Lập trình viên
"designer, ..."
Ngành liên quan khoa học máy tính
Programmer
bác sĩ tâm lí
Biên dịch
Họa sĩ digital
Luật/ngoại giao
Biên Tập Viên
lập trình game
Qủan lí khách sạn
Em muốn theo ngành Y
Web developer
em muốn làm ngành công nghệ thông tin
em dự định học bên báo chí truyền thông ạ
Kiến trúc sư
Em muốn làm giáo viên ạ.
phiên dịch tiếng trung
Họa sĩ/Thiết kế
nghiên cứu sinh
kinh doanh
"Lĩnh vực truyền thông, multi media ạ"
dạ em chưa biết
Giáo viên
Em chưa định hướng ạ
Em dự định làm về Logistics
Em chưa có định hướng
em vẫn đang suy nghĩ
Chưa biết
thiết kế đồ họa
...
Kinh tế và ngoại thương.
Em muốn theo các ngành Khoa học nhân văn và xã hội
Vật lý thực nghiệm
Ngành Khoa học
Lập trình viên hoặc Bác sĩ hoặc kinh doanh
Em vẫn chưa nghĩ tới ạ
Sư phạm
Sau này em muốn làm ngành nghề
Marketing ạ
Giám đốc thể thao cho Psg
Luật sư
phiên dịch viên
em muốn làm về kiến trúc và thiết kế nội thất
Làm quản lý khách sạn
Kĩ sư phần mềm ạ :>
Bác sĩ tâm lý
Tuy chưa có định hướng rõ ràng nhưng em nghĩ là em sẽ hợp hơn với những ngành nghề thiên về xã hội hơn là tự nhiên.
thiết kế
kĩ sư robotics
Kinh doanh ạ
Ngành tài chính ngân hàng
kỹ thuật điện - điện tử
dạ em chưa biết ạ
Economics
Kiến trúc sư
Em vẫn chưa xác định được
Bác sĩ
Quản trị khách sạn
Bác sĩ
Lập trình viên
ngành y hoặc thông tin
Lập trình viên
Bác sĩ.
Em chưa biết ạ
Dạ em muốn làm ngành Luật hoặc QTKD.
Luật sư
Kiến trúc sư
Kinh tế đối ngoại
Dược sĩ
Hàng không vũ trụ
IT công nghệ thông tin
Lập trình viên (còn về mảng gì thì em chưa xác định đc)
Dạ là I.T engineer
Giáo Viên
thiết kế đồ họa.
Chưa rõ
Dạ em muốn làm ngành QTKD.
Sau này em muốn làm ngành nghề liên quan đến giáo dục.
thiết kế
Ngành tâm lý học
Ngành Ngoại giao
Thiết kế đồ hoạ hoặc những nghề giao tiếp ngoại ngữ.
E muốn làm ngành marketing
Dược sĩ
Lập trình viên
Dược
em chưa biết
"kiến trúc sư hoặc design website, logo/poster,..."
Em chưa xác định được ạ.
Báo chí truyền thông
Em dự định làm về công nghệ thông tin (có lẽ là back-end)
"Lập trình phần mềnh, game"
Kinh tế tài chính
Dạ em chưa biết ạ
Y học
bác sĩ
Em chưa biết
lập trình phần mềm
bác sĩ nha khoa
em muốn làm về AI hoặc software engineer
Ngành Marketing
Em cũng chưa có định hướng
Sau này em muốn làm lập trình viên.
Bác sĩ (Surgeon to be exact)
Robot designer
Em muốn làm văn phòng
em chưa có dự định ạ
Sau này em muốn làm kỹ sư
Giáo viên
Sau này em muốn làm dược sĩ ạ
Em đang quan tâm đến ngành tâm lí học và AI
Sau này em muốn làm bác sĩ
Thẩm phán
Em không biết.
bác sĩ tâm lý
Y bác sĩ
"Đầu bếp, quản trị nhà hàng"
Lập trình viên IoT
Em muốn làm bác sĩ
lập trình AI
"Ngành linh kiện bán dẫn, phần cứng máy tính."
Em chưa có định hướng cho mình
